date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:32	58156/58156	---M--	200	added ('OK')	text/html	etag:%2267c04f2c-e32c%22	https://templates.framework-y.com/gourmet/pages/index-main.html	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/pages/index-main.html	(from )
11:14:32	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-62f0db9c7b9cd%22	https://templates.framework-y.com/robots.txt		(from )
11:14:33	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%2267c04f2e-15283%22	https://templates.framework-y.com/gourmet/scripts/jquery.min.js	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/jquery.min.js	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:34	72021/72021	---M--	200	added ('OK')	application/javascript	etag:%2267c04f2e-11955%22	https://templates.framework-y.com/gourmet/scripts/script.js	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/script.js	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:34	117329/117329	---M--	200	added ('OK')	text/css	etag:%2267c04f46-1ca51%22	https://templates.framework-y.com/gourmet/scripts/bootstrap/css/bootstrap.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/bootstrap/css/bootstrap.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:35	23455/23455	---M--	200	added ('OK')	text/css	etag:%2267c04f1e-5b9f%22	https://templates.framework-y.com/gourmet/css/content-box.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/css/content-box.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:35	133650/133650	---M--	200	added ('OK')	text/css	etag:%2267c04f1d-20a12%22	https://templates.framework-y.com/gourmet/style.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/style.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:35	10283/10283	---M--	200	added ('OK')	text/css	etag:%2267c04f1e-282b%22	https://templates.framework-y.com/gourmet/css/image-box.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/css/image-box.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:36	9956/9956	---M--	200	added ('OK')	text/css	etag:%2267c04f1d-26e4%22	https://templates.framework-y.com/gourmet/css/animations.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/css/animations.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:36	15550/15550	---M--	200	added ('OK')	text/css	etag:%2267c04f1d-3cbe%22	https://templates.framework-y.com/gourmet/css/components.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/css/components.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:36	18028/18028	---M--	200	added ('OK')	text/css	etag:%2267c04f3f-466c%22	https://templates.framework-y.com/gourmet/scripts/flexslider/flexslider.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/flexslider/flexslider.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:37	13983/13983	---M--	200	added ('OK')	text/css	etag:%2267c04f2e-369f%22	https://templates.framework-y.com/gourmet/scripts/magnific-popup.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/magnific-popup.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:37	6579/6579	---M--	200	added ('OK')	text/css	etag:%2267c04f40-19b3%22	https://templates.framework-y.com/gourmet/scripts/php/contact-form.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/php/contact-form.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:37	5587/5587	---M--	200	added ('OK')	text/css	etag:%2267c04f2e-15d3%22	https://templates.framework-y.com/gourmet/scripts/social.stream.css	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/scripts/social.stream.css	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
11:14:37	520/520	---M--	200	added ('OK')	image/png	etag:%22208-62f1e27af1e1e%22	https://templates.framework-y.com/gourmet/images/favicon.png	D:/QUOC%20VIET/1.%20QV/jojo/templates.framework-y.com/gourmet/images/favicon.png	(from https://templates.framework-y.com/gourmet/pages/index-main.html)
